id,university, major, degree, decision, status, year, gpafin, grev, grem, grew, new_gre
387,Rochester Institute Of Technlogy Technology (RIT),CS,Masters,Rejected,U,2018,3.2,162,167,4,TRUE
389,Illinois At Urbana Champaign (UIUC),CS,Masters,Accepted,U,2018,3.77,160,170,3.5,TRUE
390,UC Irvine (UCI),CS,Masters,Accepted,U,2018,3.55,167,153,3,TRUE
394,The University Of Michigan Ann Arbor,CS,Masters,Accepted,A,2018,3.7,158,157,4,TRUE
397,New York Univeristy (NYU GSAS),CS,Masters,Rejected,I,2018,3.63,163,163,4,TRUE
402,UMass Amherst / University Of Massachusetts Amherst,CS,PhD,Accepted,A,2018,3.77,152,163,4,TRUE
404,CMU LTI MLT,CS,Masters,Accepted,I,2018,3.93,166,168,5,TRUE
407,University Of Florida (Gainesville),CS,PhD,Accepted,I,2018,3.5,165,152,4,TRUE
408,Columbia FFSEAS,CS,Masters,Accepted,I,2018,3.93,167,167,4.5,TRUE
411,University Of Wisconsin - Madison,CS,Masters,Accepted,U,2018,3.84,151,170,3,TRUE
412,University Of Texas At Dallas,CS,Masters,Accepted,A,2018,3.72,163,160,4,TRUE
415,"UCSD (University Of California, San Diego)",CS,Masters,Accepted,I,2018,8.9,160,170,3.5,TRUE
417,ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,CS,PhD,Accepted,A,2018,3.8,165,169,5,TRUE
418,University Of Illinois At Chicago (UIC),CS,PhD,Accepted,I,2018,3.23,145,165,4,TRUE
421,Duke University,CS,Masters,Rejected,A,2018,3.6,164,169,4.5,TRUE
424,The University Of Illinois At Urbana-Champaign (UIUC),CS,Masters,Accepted,A,2018,3.65,157,165,5,TRUE
426,"(University Of California, Los Angeles (UCLA)",CS,Masters,Accepted,A,2018,3.9,158,170,4.5,TRUE
427,Duke University,CS,Masters,Rejected,I,2018,8.1,153,167,,TRUE
431,Duke University,CS,Masters,Rejected,A,2018,2.95,168,164,4.5,TRUE
433,New York Univeristy (NYU GSAS),CS,Masters,Rejected,I,2018,3.5,160,163,3.5,TRUE
438,Sfu (simon Fraser),CS,Masters,Rejected,I,2018,3.89,158,165,4,TRUE
440,"The University Of Pennsylvania (Penn, UPenn)",CS,PhD,Rejected,I,2018,6.7,167,166,5,TRUE
442,Gatech (Georgia Tech),CS,Masters,Accepted,A,2018,3.7,160,162,5,TRUE
449,"University Of Masachusettes, Amherst",CS,Masters,Accepted,I,2018,3.87,166,166,,TRUE
454,(SUNY) University At Buffalo,CS,Masters,Accepted,I,2018,3.4,152,162,3,TRUE
457,Simon Fraser  University,CS,Masters,Rejected,I,2018,3.37,164,168,5.5,TRUE
462,University Of California Santa Barbara (UCSB),CS,PhD,Rejected,I,2018,4,161,168,4,TRUE
465,University Of Columbia (FFSEAS),CS,Masters,Rejected,I,2018,3.64,150,169,4,TRUE
473,Cornell  University,CS,Masters,Rejected,I,2018,3.94,158,167,,TRUE
474,Cornell (Ithaca),CS,Masters,Rejected,I,2018,3.25,155,170,4,TRUE
475,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.8,148,165,4,TRUE
480,Columbia University (Fu Foundation School Of Engineering),CS,Masters,Rejected,I,2018,3.16,160,159,,TRUE
481,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.69,149,165,4.5,TRUE
482,Simon Fraser University (SFU),CS,Masters,Rejected,A,2018,3.2,167,168,5.5,TRUE
485,University Of Minnesota - Twin Cities (UMN),CS,Masters,Rejected,I,2018,3.84,154,167,4,TRUE
487,Simon Fraser University(SFU),CS,Masters,Rejected,I,2018,3.08,154,167,5,TRUE
488,Cornell (Ithaca),CS,Masters,Rejected,U,2018,3.77,161,166,4,TRUE
